AREA_SQMI,COUNTY,GEOM.coordinates,GEOM.type,ID_BLOCK,ID_BLOCK_CODE,ID_EBD_NAME,ID_NCBA_BLOCK,ID_OLD_ID,ID_S123_NOSPACES,ID_S123_NOSPACES_TEMP,ID_S123_SPACES,ID_S123_SPACES_TEMP,ID_WEB_BLOCKMAP,NW_X,NW_Y,POSITION,PRIORITY,QUADID,QUAD_BLOCK,QUAD_NAME,REGION,SE_X,SE_Y,SUBNAT2,TYPE,_id
10.23516421,BLADEN,"[[[-78.6875073,34.58335386],[-78.6875073,34.54168589],[-78.62500716,34.54168589],[-78.62500716,34.58335386],[-78.6875073,34.58335386]]]",Polygon,ABBOTTSBURG-CE,34078E6CE,Abbottsburg CE,ABBOTTSBURG-CE,Abbottsburg-CE,Abbottsburg_CE,Abbottsburg_CE,Abbottsburg CE,Abbottsburg CE,Abbottsburg CE,-78.6875073,34.58335386,Inside,0,34078E6,CE,ABBOTTSBURG,4,-78.62500716,34.54168589,US-NC-017,Non-priority,34078E6CE
10.23509544,BLADEN,"[[[-78.75000745,34.58335386],[-78.75000745,34.54168699],[-78.6875073,34.54168699],[-78.6875073,34.58335386],[-78.75000745,34.58335386]]]",Polygon,ABBOTTSBURG-CW,34078E6CW,Abbottsburg CW,ABBOTTSBURG-CW,Abbottsburg-CW,Abbottsburg_CW,Abbottsburg_CW,Abbottsburg CW,Abbottsburg CW,Abbottsburg CW,-78.75000745,34.58335386,Inside,0,34078E6,CW,ABBOTTSBURG,4,-78.6875073,34.54168699,US-NC-017,Non-priority,34078E6CW
10.22991068,BLADEN,"[[[-78.6875073,34.62502057],[-78.6875073,34.58335334],[-78.62500714,34.58335334],[-78.62500714,34.62502057],[-78.6875073,34.62502057]]]",Polygon,ABBOTTSBURG-NE,34078E6NE,Abbottsburg NE,ABBOTTSBURG-NE,Abbottsburg-NE,Abbottsburg_NE,Abbottsburg_NE,Abbottsburg NE,Abbottsburg NE,Abbottsburg NE,-78.6875073,34.62502057,Inside,0,34078E6,NE,ABBOTTSBURG,4,-78.62500714,34.58335334,US-NC-017,Non-priority,34078E6NE
10.2297224,BLADEN,"[[[-78.75000745,34.62502054],[-78.75000745,34.58335385],[-78.6875073,34.58335385],[-78.6875073,34.62502054],[-78.75000745,34.62502054]]]",Polygon,ABBOTTSBURG-NW,34078E6NW,Abbottsburg NW,ABBOTTSBURG-NW,Abbottsburg-NW,Abbottsburg_NW,Abbottsburg_NW,Abbottsburg NW,Abbottsburg NW,Abbottsburg NW,-78.75000745,34.62502054,Inside,0,34078E6,NW,ABBOTTSBURG,4,-78.6875073,34.58335385,US-NC-017,Non-priority,34078E6NW
10.24026626,BLADEN,"[[[-78.68750735,34.541687],[-78.68750735,34.5000193],[-78.62500716,34.5000193],[-78.62500716,34.541687],[-78.68750735,34.541687]]]",Polygon,ABBOTTSBURG-SE,34078E6SE,Abbottsburg SE,ABBOTTSBURG-SE,Abbottsburg-SE,Abbottsburg_SE,Abbottsburg_SE,Abbottsburg SE,Abbottsburg SE,Abbottsburg SE,-78.68750735,34.541687,Inside,1,34078E6,SE,ABBOTTSBURG,4,-78.62500716,34.5000193,US-NC-017,Priority,34078E6SE
10.24029129,BLADEN,"[[[-78.75000745,34.541687],[-78.75000745,34.50002015],[-78.6875073,34.50002015],[-78.6875073,34.541687],[-78.75000745,34.541687]]]",Polygon,ABBOTTSBURG-SW,34078E6SW,Abbottsburg SW,ABBOTTSBURG-SW,Abbottsburg-SW,Abbottsburg_SW,Abbottsburg_SW,Abbottsburg SW,Abbottsburg SW,Abbottsburg SW,-78.75000745,34.541687,Inside,0,34078E6,SW,ABBOTTSBURG,4,-78.6875073,34.50002015,US-NC-017,Non-priority,34078E6SW
10.2664475,BRUNSWICK,"[[[-78.18750735,34.33335394],[-78.18750735,34.2916871],[-78.12500723,34.2916871],[-78.12500723,34.33335394],[-78.18750735,34.33335394]]]",Polygon,ACME-CE,34078C2CE,Acme CE,ACME-CE,Acme-CE,Acme_CE,Acme_CE,Acme CE,Acme CE,Acme CE,-78.18750735,34.33335394,Inside,0,34078c2,CE,ACME,4,-78.12500723,34.2916871,US-NC-019,Non-priority,34078C2CE
10.26647817,COLUMBUS,"[[[-78.25000763,34.33335394],[-78.25000763,34.29168711],[-78.18750734,34.29168711],[-78.18750734,34.33335394],[-78.25000763,34.33335394]]]",Polygon,ACME-CW,34078C2CW,Acme CW,ACME-CW,Acme-CW,Acme_CW,Acme_CW,Acme CW,Acme CW,Acme CW,-78.25000763,34.33335394,Inside,0,34078c2,CW,ACME,4,-78.18750734,34.29168711,US-NC-047,Non-priority,34078C2CW
10.26113436,BRUNSWICK,"[[[-78.18750735,34.37502046],[-78.18750735,34.33335391],[-78.12500722,34.33335391],[-78.12500722,34.37502046],[-78.18750735,34.37502046]]]",Polygon,ACME-NE,34078C2NE,Acme NE,ACME-NE,Acme-NE,Acme_NE,Acme_NE,Acme NE,Acme NE,Acme NE,-78.18750735,34.37502046,Estuarine,0,34078c2,NE,ACME,4,-78.12500722,34.33335391,US-NC-019,Non-priority,34078C2NE
10.26116179,COLUMBUS,"[[[-78.25000763,34.37502051],[-78.25000763,34.33335394],[-78.18750735,34.33335394],[-78.18750735,34.37502051],[-78.25000763,34.37502051]]]",Polygon,ACME-NW,34078C2NW,Acme NW,ACME-NW,Acme-NW,Acme_NW,Acme_NW,Acme NW,Acme NW,Acme NW,-78.25000763,34.37502051,Estuarine,0,34078c2,NW,ACME,4,-78.18750735,34.33335394,US-NC-047,Non-priority,34078C2NW
