ALL_SPECIES_REPORTED,ATLAS_BLOCK,BCR_CODE,COUNTRY,COUNTRY_CODE,COUNTY,COUNTY_CODE,DURATION_MINUTES,EFFORT_AREA_HA,EFFORT_DISTANCE_KM,GROUP_IDENTIFIER,IBA_CODE,LAST_EDITED_DATE,LATITUDE,LOCALITY,LOCALITY_ID,LOCALITY_TYPE,LONGITUDE,MONTH,NCBA_APPROVED,NCBA_BLOCK,NCBA_COMMENTS,NCBA_REVIEWED,NCBA_REVIEWER,NCBA_REVIEW_DATE,NUMBER_OBSERVERS,OBSERVATION_DATE,OBSERVER_ID,PROJECT_CODE,PROTOCOL_CODE,PROTOCOL_TYPE,SAMPLING_EVENT_IDENTIFIER,STATE,STATE_CODE,TIME_OBSERVATIONS_STARTED,TRIP_COMMENTS,USFWS_CODE,YEAR,_id
1,,29,United States,US,Wake,US-NC-183,41,0,0,,,44:35.6,35.750524,My Backyard,L6729139,P,-78.627133,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/11/2021,obsr558431,EBIRD,P21,Stationary,S79088378,North Carolina,US-NC,13:44:00,,,2021,S79088378
1,,29,United States,US,Wake,US-NC-183,37,0,1.336,,,44:35.6,35.7596482,Walnut Creek Trail--Wetland Center,L2393358,H,-78.6259881,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/5/2021,obsr1207962,EBIRD,P22,Traveling,S78733538,North Carolina,US-NC,15:12:00,,,2021,S78733538
1,,29,United States,US,Wake,US-NC-183,10,0,0.247,,,44:35.6,35.7880683,Edna Metz Wells Park,L1435480,H,-78.6551607,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/2/2021,obsr1826657,EBIRD,P22,Traveling,S78505090,North Carolina,US-NC,14:53:00,,,2021,S78505090
1,,29,United States,US,Wake,US-NC-183,28,0,0.861,,,44:35.6,35.7880683,Edna Metz Wells Park,L1435480,H,-78.6551607,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/27/2021,obsr705646,EBIRD,P22,Traveling,S79976564,North Carolina,US-NC,11:53:00,,,2021,S79976564
1,,29,United States,US,Wake,US-NC-183,26,0,0.475,G6176693,,19:12.2,35.7667941,Lake Raleigh,L876033,H,-78.6778808,1,0,Raleigh West SE,0,0,EBD Upload,,2,1/18/2021,obsr397382,EBIRD,P22,Traveling,S79513338,North Carolina,US-NC,9:26:00,,,2021,S79513338
1,,29,United States,US,Wake,US-NC-183,36,0,2.012,,,03:07.6,35.7667941,Lake Raleigh,L876033,H,-78.6778808,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/16/2021,obsr918650,EBIRD,P22,Traveling,S79326369,North Carolina,US-NC,10:59:00,,,2021,S79326369
1,,29,United States,US,Wake,US-NC-183,92,0,4.571,,,01:51.2,35.7880683,Edna Metz Wells Park,L1435480,H,-78.6551607,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/19/2021,obsr1887051,EBIRD,P22,Traveling,S79542624,North Carolina,US-NC,8:49:00,,,2021,S79542624
1,,29,United States,US,Wake,US-NC-183,26,0,0.475,G6176693,,19:12.2,35.7667941,Lake Raleigh,L876033,H,-78.6778808,1,0,Raleigh West SE,0,0,EBD Upload,,2,1/18/2021,obsr301564,EBIRD,P22,Traveling,S79486245,North Carolina,US-NC,9:26:00,"W Clyde S, 48F breezy",,2021,S79486245
1,,29,United States,US,Wake,US-NC-183,10,0,0,,,44:35.6,35.7645278,State Farmers Market,L12139697,P,-78.6635995,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/8/2021,obsr1519781,EBIRD,P21,Stationary,S78886108,North Carolina,US-NC,9:30:00,,,2021,S78886108
1,,29,United States,US,Wake,US-NC-183,228,0,3.229,,,27:31.3,35.7596482,Walnut Creek Trail--Wetland Center,L2393358,H,-78.6259881,1,0,Raleigh West SE,0,0,EBD Upload,,3,1/15/2021,obsr1024398,EBIRD,P22,Traveling,S79302184,North Carolina,US-NC,8:03:00,,,2021,S79302184
1,,29,United States,US,Wake,US-NC-183,64,0,1.687,,,44:35.6,35.7880683,Edna Metz Wells Park,L1435480,H,-78.6551607,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/5/2021,obsr1826657,EBIRD,P22,Traveling,S78740614,North Carolina,US-NC,15:48:00,,,2021,S78740614
0,,29,United States,US,Wake,US-NC-183,0,0,0,,,44:35.6,35.772049,Raleigh,L131236,T,-78.6386337,1,0,Raleigh West SE,0,0,EBD Upload,,2,1/2/2021,obsr2046829,EBIRD,P20,Incidental,S78541242,North Carolina,US-NC,2:30:00,,,2021,S78541242
1,,29,United States,US,Wake,US-NC-183,32,0,0.805,,,54:01.6,35.7880683,Edna Metz Wells Park,L1435480,H,-78.6551607,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/17/2021,obsr705646,EBIRD,P22,Traveling,S79435575,North Carolina,US-NC,14:16:00,,,2021,S79435575
1,,29,United States,US,Wake,US-NC-183,12,0,0.339,,,44:35.6,35.7880683,Edna Metz Wells Park,L1435480,H,-78.6551607,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/4/2021,obsr1826657,EBIRD,P22,Traveling,S78670700,North Carolina,US-NC,15:07:00,,,2021,S78670700
1,,29,United States,US,Wake,US-NC-183,23,0,0,,,44:35.6,35.750524,My Backyard,L6729139,P,-78.627133,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/6/2021,obsr558431,EBIRD,P21,Stationary,S79027041,North Carolina,US-NC,14:39:00,,,2021,S79027041
1,,29,United States,US,Wake,US-NC-183,98,0,5.577,,,31:22.2,35.7861221,North Carolina State University Campus,L6172792,H,-78.6714435,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/19/2021,obsr282948,EBIRD,P22,Traveling,S79539162,North Carolina,US-NC,7:35:00,,,2021,S79539162
1,,29,United States,US,Wake,US-NC-183,54,0,0.853,,,44:35.6,35.7871126,"Park Drive, Raleigh, North Carolina, US",L13091163,P,-78.6538952,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/5/2021,obsr918650,EBIRD,P22,Traveling,S78732281,North Carolina,US-NC,14:40:00,,,2021,S78732281
1,,29,United States,US,Wake,US-NC-183,82,0,2.8,,,36:59.1,35.7841695,"Pullen Road, Raleigh, North Carolina, US (35.784, -78.664)",L13362879,P,-78.6635058,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/23/2021,obsr1887051,EBIRD,P22,Traveling,S79744543,North Carolina,US-NC,9:12:00,,,2021,S79744543
1,,29,United States,US,Wake,US-NC-183,37,0,1.245,,,12:17.1,35.7814222,Pullen Park,L3581584,H,-78.66359,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/27/2021,obsr705646,EBIRD,P22,Traveling,S79979289,North Carolina,US-NC,12:34:00,,,2021,S79979289
1,,29,United States,US,Wake,US-NC-183,39,0,0,,,44:35.6,35.750524,My Backyard,L6729139,P,-78.627133,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/2/2021,obsr558431,EBIRD,P21,Stationary,S78504322,North Carolina,US-NC,14:02:00,,,2021,S78504322
1,,29,United States,US,Wake,US-NC-183,46,0,0,,,44:35.6,35.7871126,"Park Drive, Raleigh, North Carolina, US",L13091163,P,-78.6538952,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/22/2021,obsr918650,EBIRD,P21,Stationary,S79709829,North Carolina,US-NC,15:10:00,,,2021,S79709829
1,,29,United States,US,Wake,US-NC-183,20,0,0,,,44:35.6,35.7735815,Sams Backyard,L4321898,P,-78.6527649,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/31/2021,obsr408219,EBIRD,P21,Stationary,S80194784,North Carolina,US-NC,11:52:00,,,2021,S80194784
1,,29,United States,US,Wake,US-NC-183,27,0,0,,,44:35.6,35.7735815,Sams Backyard,L4321898,P,-78.6527649,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/30/2021,obsr408219,EBIRD,P21,Stationary,S80112329,North Carolina,US-NC,8:33:00,,,2021,S80112329
1,,29,United States,US,Wake,US-NC-183,41,0,0.901,,,06:18.5,35.7802472,Rocky Branch Greenway,L1303201,H,-78.6684716,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/18/2021,obsr705646,EBIRD,P22,Traveling,S79493633,North Carolina,US-NC,12:24:00,,,2021,S79493633
1,,29,United States,US,Wake,US-NC-183,25,0,0,,,44:35.6,35.7735815,Sams Backyard,L4321898,P,-78.6527649,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/28/2021,obsr408219,EBIRD,P21,Stationary,S80016178,North Carolina,US-NC,8:57:00,,,2021,S80016178
1,,29,United States,US,Wake,US-NC-183,3,0,0.193,,,03:07.6,35.7711076,"118 East South Street, Raleigh, North Carolina, US (35.771, -78.638)",L8496855,P,-78.6380767,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/13/2021,obsr1207962,EBIRD,P22,Traveling,S79164454,North Carolina,US-NC,7:46:00,,,2021,S79164454
1,,29,United States,US,Wake,US-NC-183,23,0,0,,,44:35.6,35.750524,My Backyard,L6729139,P,-78.627133,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/29/2021,obsr558431,EBIRD,P21,Stationary,S80155718,North Carolina,US-NC,15:57:00,,,2021,S80155718
1,,29,United States,US,Wake,US-NC-183,25,0,0,,,44:35.6,35.7735815,Sams Backyard,L4321898,P,-78.6527649,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/16/2021,obsr408219,EBIRD,P21,Stationary,S79317355,North Carolina,US-NC,9:06:00,,,2021,S79317355
1,,29,United States,US,Wake,US-NC-183,38,0,0,,,44:35.6,35.750524,My Backyard,L6729139,P,-78.627133,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/3/2021,obsr558431,EBIRD,P21,Stationary,S78592750,North Carolina,US-NC,13:54:00,,,2021,S78592750
0,,29,United States,US,Wake,US-NC-183,0,0,0,,,13:38.1,35.7667941,Lake Raleigh,L876033,H,-78.6778808,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/24/2021,obsr1568375,EBIRD,P20,Incidental,S79836700,North Carolina,US-NC,15:11:00,,,2021,S79836700
1,,29,United States,US,Wake,US-NC-183,39,0,0,,,44:35.6,35.750524,My Backyard,L6729139,P,-78.627133,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/24/2021,obsr558431,EBIRD,P21,Stationary,S79808623,North Carolina,US-NC,8:52:00,,,2021,S79808623
1,,29,United States,US,Wake,US-NC-183,37,0,0,,,44:35.6,35.7735815,Sams Backyard,L4321898,P,-78.6527649,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/27/2021,obsr408219,EBIRD,P21,Stationary,S79979059,North Carolina,US-NC,12:29:00,,,2021,S79979059
1,,29,United States,US,Wake,US-NC-183,41,0,0,,,44:35.6,35.750524,My Backyard,L6729139,P,-78.627133,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/4/2021,obsr558431,EBIRD,P21,Stationary,S78663620,North Carolina,US-NC,12:36:00,,,2021,S78663620
1,,29,United States,US,Wake,US-NC-183,4,0,0,,,44:35.6,35.7717,Dorothea Gardens,L12204410,P,-78.649048,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/6/2021,obsr1334916,EBIRD,P21,Stationary,S78763794,North Carolina,US-NC,7:53:00,,,2021,S78763794
1,,29,United States,US,Wake,US-NC-183,34,0,0,,,44:35.6,35.7735815,Sams Backyard,L4321898,P,-78.6527649,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/23/2021,obsr408219,EBIRD,P21,Stationary,S79739107,North Carolina,US-NC,8:44:00,,,2021,S79739107
0,,29,United States,US,Wake,US-NC-183,0,0,0,,,44:35.6,35.7717,Dorothea Gardens,L12204410,P,-78.649048,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/16/2021,obsr1334916,EBIRD,P20,Incidental,S79315792,North Carolina,US-NC,9:06:00,,,2021,S79315792
1,,29,United States,US,Wake,US-NC-183,26,0,0,,,44:35.6,35.750524,My Backyard,L6729139,P,-78.627133,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/27/2021,obsr558431,EBIRD,P21,Stationary,S80155637,North Carolina,US-NC,8:44:00,,,2021,S80155637
1,,29,United States,US,Wake,US-NC-183,60,0,1.609,,,21:58.6,35.7596482,Walnut Creek Trail--Wetland Center,L2393358,H,-78.6259881,1,0,Raleigh West SE,0,0,EBD Upload,,2,1/16/2021,obsr532079,EBIRD,P22,Traveling,S79356170,North Carolina,US-NC,14:30:00,,,2021,S79356170
1,,29,United States,US,Wake,US-NC-183,6,0,0,,,44:35.6,35.7717,Dorothea Gardens,L12204410,P,-78.649048,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/5/2021,obsr1334916,EBIRD,P21,Stationary,S78704557,North Carolina,US-NC,7:53:00,,,2021,S78704557
1,,29,United States,US,Wake,US-NC-183,38,0,0,,,44:35.6,35.750524,My Backyard,L6729139,P,-78.627133,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/19/2021,obsr558431,EBIRD,P21,Stationary,S79541091,North Carolina,US-NC,9:07:00,,,2021,S79541091
1,,29,United States,US,Wake,US-NC-183,37,0,0,,,44:35.6,35.750524,My Backyard,L6729139,P,-78.627133,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/20/2021,obsr558431,EBIRD,P21,Stationary,S79646636,North Carolina,US-NC,14:13:00,,,2021,S79646636
1,,29,United States,US,Wake,US-NC-183,4,0,0,,,44:35.6,35.7717,Dorothea Gardens,L12204410,P,-78.649048,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/10/2021,obsr1334916,EBIRD,P21,Stationary,S79014104,North Carolina,US-NC,12:38:00,,,2021,S79014104
1,,29,United States,US,Wake,US-NC-183,29,0,0.957,,,37:51.0,35.7814222,Pullen Park,L3581584,H,-78.66359,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/18/2021,obsr705646,EBIRD,P22,Traveling,S79496031,North Carolina,US-NC,13:07:00,,,2021,S79496031
1,,29,United States,US,Wake,US-NC-183,24,0,0,,,44:35.6,35.750524,My Backyard,L6729139,P,-78.627133,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/26/2021,obsr558431,EBIRD,P21,Stationary,S80155616,North Carolina,US-NC,15:47:00,,,2021,S80155616
1,,29,United States,US,Wake,US-NC-183,63,0,3.707,,,03:42.6,35.7861221,North Carolina State University Campus,L6172792,H,-78.6714435,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/12/2021,obsr361968,EBIRD,P22,Traveling,S79123168,North Carolina,US-NC,9:09:00,,,2021,S79123168
1,,29,United States,US,Wake,US-NC-183,19,0,0,,,44:35.6,35.750524,My Backyard,L6729139,P,-78.627133,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/28/2021,obsr558431,EBIRD,P21,Stationary,S80155661,North Carolina,US-NC,9:34:00,,,2021,S80155661
1,,29,United States,US,Wake,US-NC-183,32,0,0,,,44:35.6,35.750524,My Backyard,L6729139,P,-78.627133,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/31/2021,obsr558431,EBIRD,P21,Stationary,S80195485,North Carolina,US-NC,11:42:00,,,2021,S80195485
1,,29,United States,US,Wake,US-NC-183,12,0,0.56,,,44:35.6,35.7861221,North Carolina State University Campus,L6172792,H,-78.6714435,1,0,Raleigh West SE,0,0,EBD Upload,,1,1/15/2021,obsr755111,EBIRD,P22,Traveling,S79266862,North Carolina,US-NC,9:35:00,,,2021,S79266862
